,Title,Desc_of_movies
1125,DeRay Davis: How to Act Black ,"Dynamic comic DeRay Davis hits the stage like a ball of fire, nailing the finer points of living, dating and handling show business as a black man."
1126,Derek , Ricky Gervais created and stars in this heartwarming comedy-drama series as a loyal English nursing home care worker who sees only the good in everyone.
1127,Derren Brown: Miracle ,"Illusionist Derren Brown reinvents the concept of ""faith healing"" through a series of stunts that debunk the confines of fear, pain and disbelief."
1128,Derren Brown: Sacrifice ,Illusionist Derren Brown concocts a psychological experiment in which he tries to manipulate an ordinary person into taking a bullet for a stranger.
1129,Derren Brown: The Push ,Mentalist Derren Brown engineers an audacious social experiment demonstrating how manipulation can lead an ordinary person to commit an appalling act.
1130,Derry Girls ," Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager."
1131,Desires ,A young woman arrives at her estranged sister's wedding to mend fences but falls prey to lust when she meets the groom.
1132,Desolate ,"In a severe, drought-ravaged dystopia, the youngest of a farm family starts a quest for revenge after his brothers betray him and leave him for dead."
1133,Desperados ,"After drunkenly sending a cringeworthy email, hopeless romantic Wes heads to Mexico with her best friends to erase the note before her new love reads it."
1134,Despido Procedente (Dismissal) ,"A Spaniard working in Argentina sees his life upended after accidentally giving bad directions to a passerby, who demands compensation for the error."
1135,Despite Everything (A Pesar de Todo) ,"After their mother's death, four sisters learn a shocking family secret and embark on an adventure to discover the truth about their genealogy."
1136,Destiny ,"In 12th-century Spain, a philosopher and his profound teachings jeopardize the caliph he serves when political rivals threaten a government upheaval."
1137,Destruction Los Angeles ,"When Los Angeles erupts into chaos after unprecedented seismic activity, an ambitious TV reporter chases the story while searching for his family."
1138,The Detained (Deadly Detention) ,Five high school students serving Saturday detention in a former corrections facility must find a way to outsmart an unseen menace out to kill them.
1139,Detention Letter (Arrest Letter) , A man begins to regret his choices when his brother decides to join him as a member of the same terrorist organization.
1140,Detroit ,The deaths of three African American men at the hands of Detroit police in 1967 ignite civil unrest and deadly protests. Based on true events.
1141,Deuces ,"Assigned to go undercover to take down an impenetrable crime ring, a detective finds himself falling under the sway of its enigmatic leader."
1142,Dev.D ,"Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths."
1143,Deviant Love ,"In a tailspin after her marriage collapses, Jamie falls for a helpful gentleman whose interest in her welfare hides sinister motives."
1144,Devil ,"Detective Bowden must save five people trapped in an elevator and he has to do it fast, because one of them is the devil."
1145,The Devil All The Time ,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
1146,The Devil and Father Amorth ,"In Rome, ""Exorcist"" director William Friedkin follows a 91-year-old priest who performs a real demonic exorcism on a woman from a small Italian town."
1147,The Devil We Know ,This documentary details DuPont's alleged decades-long cover-up of the potential harm caused by chemicals used to make popular Teflon products.
1148,The Devil's Mistress (Lída Baarová) ,"Before the dawn of World War II, an ambitious actress pursues her dreams in Berlin. But her plans derail when she becomes Joseph Goebbels' mistress."
1149,The Devil's Own ," Set on avenging his father's death, an Irish Republican Army terrorist sails to America on a mission to buy weapons from an underground arms dealer."
1150,Dhamaal ,"Tipped off about buried money in Goa, four ne'er-do-well friends go on the hunt, chased by a police officer who wants the treasure for himself."
1151,Dhan Dhana Dhan Goal ,"In a last-ditch effort, the jaded coach of the Southall United Football Club assembles a ragtag team and helps lead the team to a comeback season."
1152,Dharam Sankat Mein ," After learning he was adopted from a Muslim couple, a Hindu man seeks his birth father but finds he must confront his bigotry to realize his quest."
1153,Dhh ,"Convinced only a miracle can save them from failing school exams, a trio of friends seek help from a magician. To their surprise, he gamely complies."
1154,Dhia Sofea (Suamiku Encik Sotong) ,"After discovering that she was adopted as an infant, a young woman embarks on a perilous quest to connect with her biological mother."
1155,Dhobi Ghat (Mumbai Diaries) ,"In this intimate drama, circumstances draw together four people from different castes -- which would normally preclude them from forming friendships."
1156,Dhoondte Reh Jaoge ,"An accountant and a producer hatch a scheme to finance a movie, while making every effort to ensure that it flops so they may pocket the difference."
1157,Di Renjie zhi Sidatianwang (Detective Dee: The Four Heavenly Kings) ,"Framed by an empress who plans to steal a dragon-taming mace, imperial magistrate Dee Renjie soon uncovers a greater plot that threatens the kingdom."
1158,Diamonds in the Sky ,Three families navigate uncertainty and struggle when cancer affects their lives and presents emotional challenges that test their bonds.
1159,Diana: In Her Own Words ,"Featuring archival footage and personal recordings, this documentary offers candid insight into the life of the beloved princess."
1160,Dick Johnson Is Dead ,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
1161,The Dictator ,"This comedy chronicles the glorious efforts of General Aladeen, dictator of the Republic of Wadiya, to oppress his people and fight democracy."
1162,Did You Hear About the Morgans? ,"After watching a hit man commit murder, an estranged couple leaves New York City and lands in Wyoming when they enter the Witness Protection Program."
1163,Die Ontwaking , An inexperienced murder detective joins a desperate search for a deranged serial killer who possesses a deep obsession with young women's skin.
1164,Dieter Nuhr: Nuhr in Berlin ,"The cerebral and popular German cabaret comic expounds his theories on gender norms, primal instincts and a decidedly gastrointestinal Big Bang."
1165,Digs & Discoveries: All Track's Lead to Rome ,"After being introduced to Italy's ancient history, Thomas sets out to prove his expertise until his curiosity lands him in trouble in an old mine."
1166,Digs & Discoveries: Mines of Mystery ,"Amidst Italy's ancient sites and hidden treasures, Thomas is inspired to make his own special discovery, sending him on a journey to find a lost legend."
1167,Dil ,A miser's scheme to set his son up with a millionaire's daughter backfires when the two actually fall in love -- just as his sly charade is revealed.
1168,Dil Chahta Hai ,"Inseparable childhood friends Akash, Sameer and Siddharth are just out of college. Nothing comes between them -- until they each fall in love."
